1	-763	-343	-394	-763	-343	-394	-763	-343	-394
2	117	653	-614	117	653	-614	117	653	-614
3	138	712	-604	138	712	-604	138	712	-604
4	-578	-427	-515	-578	-427	-515	-578	-427	-515
5	367	677	-639	367	677	-639	367	677	-639
6	534	-604	292	534	-604	292	534	-604	292
7	429	-524	465	429	-524	465	429	-524	465
8	-621	-338	-456	-621	-338	-456	-621	-338	-456
9	320	727	-769	320	727	-769	320	727	-769
10	687	-503	352	687	-503	352	687	-503	352
11	379	672	-711	379	672	-711	379	672	-711
12	-663	-526	-519	-663	-526	-519	-663	-526	-519
13	541	-524	446	541	-524	446	541	-524	446
14	-151	-293	258	-151	-293	258	-151	-293	258
15	514	-634	275	514	-634	275	514	-634	275
16	493	-552	265	493	-552	265	493	-552	265
17	492	-383	321	492	-383	321	492	-383	321
18	133	554	-814	133	554	-814	133	554	-814
19	540	-570	491	540	-570	491	540	-570	491
20	581	-555	468	581	-555	468	581	-555	468
21	-269	-350	76	-269	-350	76	-269	-350	76
22	-590	-361	-373	-590	-361	-373	-590	-361	-373
23	-116	-228	5	-116	-228	5	-116	-228	5
24	134	515	-714	134	515	-714	134	515	-714
25	-256	-337	42	-256	-337	42	-256	-337	42
26	135	771	-712	135	771	-712	135	771	-712
27	-57	-313	137	-57	-313	137	-57	-313	137
28	-309	-227	154	-309	-227	154	-309	-227	154
29	548	-459	287	548	-459	287	548	-459	287
30	386	606	-792	386	606	-792	386	606	-792
31	254	566	-828	254	566	-828	254	566	-828
32	586	-569	291	586	-569	291	586	-569	291
33	169	727	-702	169	727	-702	169	727	-702
34	454	-365	481	454	-365	481	454	-365	481
35	-149	-378	64	-149	-378	64	-149	-378	64
36	307	717	-630	307	717	-630	307	717	-630
37	119	594	-752	119	594	-752	119	594	-752
38	273	701	-768	273	701	-768	273	701	-768
39	-148	-373	31	-148	-373	31	-148	-373	31
40	602	-574	462	602	-574	462	602	-574	462
41	-96	-296	72	-96	-296	72	-96	-296	72
42	-104	-225	-7	-104	-225	-7	-104	-225	-7
43	348	782	-616	348	782	-616	348	782	-616
44	-35	-212	250	-35	-212	250	-35	-212	250
45	350	652	-554	350	652	-554	350	652	-554
46	-235	-293	-3	-235	-293	-3	-235	-293	-3
47	119	533	-581	119	533	-581	119	533	-581
48	338	723	-635	338	723	-635	338	723	-635
49	-534	-453	-397	-534	-453	-397	-534	-453	-397
50	205	529	-652	205	529	-652	205	529	-652
51	647	-630	366	647	-630	366	647	-630	366
52	327	636	-821	327	636	-821	327	636	-821
53	-723	-363	-375	-723	-363	-375	-723	-363	-375
54	-727	-348	-482	-727	-348	-482	-727	-348	-482
55	-761	-415	-323	-761	-415	-323	-761	-415	-323
56	-793	-566	-532	-793	-566	-532	-793	-566	-532
57	688	-426	359	688	-426	359	688	-426	359
58	-32	-369	217	-32	-369	217	-32	-369	217
59	-650	-458	-318	-650	-458	-318	-650	-458	-318
60	-537	-532	-421	-537	-532	-421	-537	-532	-421
61	-720	-355	-352	-720	-355	-352	-720	-355	-352
62	-109	-403	73	-109	-403	73	-109	-403	73
63	-303	-379	159	-303	-379	159	-303	-379	159
64	439	-637	335	439	-637	335	439	-637	335
65	-131	-318	232	-131	-318	232	-131	-318	232
