1 -542 -686 386
2 42 -734 295
3 -368 -584 -486
4 -16 -705 180
5 691 -78 47
6 -522 -602 -364
7 -519 -644 347
8 -470 -620 -360
9 -53 -601 167
10 79 -675 310
11 -679 -781 424
12 -454 -761 -354
13 647 76 130
14 -675 -744 519
15 86 -557 133
16 666 133 44
17 -713 -658 439
18 781 -62 245
19 -647 -734 349
20 671 -16 80
21 -554 -759 332
22 -343 -586 -411
23 -411 -788 -495
24 575 -73 191
25 -504 -626 499
26 777 141 26
27 601 46 252
28 31 -791 92
29 -97 -743 261
30 -655 -627 516
31 -499 -808 -401
32 106 -797 145
33 -416 -810 -330
34 -415 -740 -344
35 41 -770 193
36 -559 -632 550
37 -102 -713 123
38 -685 -737 342
39 99 -700 235
40 134 -622 112
41 -350 -654 -463
42 -640 -765 435
43 669 84 134
44 -489 -603 -536
45 -20 -697 90
46 7 -544 154
47 -368 -616 -391
48 -63 -657 274
49 -459 -793 -413
50 543 -5 12
51 -503 -698 421
52 -511 -769 475
53 760 17 195
54 -87 -661 98
55 -642 -533 552
56 -626 -713 456
57 110 -637 229
58 547 34 19
59 -678 -699 320
60 -631 -571 565
61 -559 -682 313
62 578 102 99
63 -13 -805 301
64 116 -748 266
65 -40 -753 76
66 -375 -686 -399
67 -407 -596 -454
68 -541 -521 367
69 -485 -784 -467
70 652 -23 22
71 -39 -709 338
72 -39 -626 119
73 585 124 96
74 9 -553 256
75 -668 -785 347
76 -539 -569 477
77 -383 -782 -573
78 -469 -582 344
79 603 95 203
80 -505 -721 584
81 -531 -698 393
82 739 -38 63
83 -394 -534 -518
84 -505 -621 490
85 667 -57 40
86 -611 -644 356
87 -559 -713 -518
88 -525 -681 -431
89 -565 -507 486
90 -353 -562 -495
91 -415 -630 -446
92 -508 -594 343
93 682 53 2
94 591 160 176
95 28 -739 120
96 753 -35 82
97 718 158 45
98 633 -68 58
99 82 -642 84
100 803 86 214
