1	-763	-343	-394
2	117	653	-614
3	138	712	-604
4	-578	-427	-515
5	367	677	-639
6	534	-604	292
7	429	-524	465
8	-621	-338	-456
9	320	727	-769
10	687	-503	352
11	379	672	-711
12	-663	-526	-519
13	541	-524	446
14	-151	-293	258
15	514	-634	275
16	493	-552	265
17	492	-383	321
18	133	554	-814
19	540	-570	491
20	581	-555	468
21	-269	-350	76
22	-590	-361	-373
23	-116	-228	5
24	134	515	-714
25	-256	-337	42
26	135	771	-712
27	-57	-313	137
28	-309	-227	154
29	548	-459	287
30	386	606	-792
31	254	566	-828
32	586	-569	291
33	169	727	-702
34	454	-365	481
35	-149	-378	64
36	307	717	-630
37	119	594	-752
38	273	701	-768
39	-148	-373	31
40	602	-574	462
41	-96	-296	72
42	-104	-225	-7
43	348	782	-616
44	-35	-212	250
45	350	652	-554
46	-235	-293	-3
47	119	533	-581
48	338	723	-635
49	-534	-453	-397
50	205	529	-652
51	647	-630	366
52	327	636	-821
53	-723	-363	-375
54	-727	-348	-482
55	-761	-415	-323
56	-793	-566	-532
57	688	-426	359
58	-32	-369	217
59	-650	-458	-318
60	-537	-532	-421
61	-720	-355	-352
62	-109	-403	73
63	-303	-379	159
64	439	-637	335
65	-131	-318	232
66	612	-566	328
67	-33	-405	171
68	-287	-468	161
69	-721	-396	-421
70	-178	-477	11
71	-601	-575	-343
72	-92	-412	242
73	150	761	-623
74	-639	-580	-449
75	-300	-421	-9
76	-294	-388	212
77	-262	-253	146
78	-223	-408	190
79	435	-574	357
80	-56	-465	203
81	482	-564	520
82	678	-542	362
83	692	-486	313
84	115	710	-616
85	367	722	-669
86	215	742	-741
87	699	-522	402
88	-110	-459	200
89	-68	-312	51
90	175	606	-641
91	-193	-359	237
92	-159	-216	207
93	-716	-316	-496
94	-208	-481	-6
95	-604	-539	-395
96	234	673	-620
97	-794	-511	-412
98	-787	-496	-344
99	-110	-473	168
100	346	652	-766
101	553	-599	334
102	-754	-483	-316
103	489	-363	453
104	-307	-218	189
105	-132	-453	33
106	427	-432	507
107	655	-555	453
108	308	577	-743
109	-756	-563	-540
110	603	-372	349
111	-772	-380	-416
112	-784	-484	-380
113	-759	-354	-523
114	531	-465	297
115	-592	-583	-347
116	499	-442	513
117	697	-627	270
118	179	516	-591
119	272	745	-798
120	376	691	-615
121	-537	-573	-301
122	-742	-401	-286
123	300	760	-618
124	274	661	-762
125	384	702	-778
126	-774	-547	-373
127	-714	-522	-316
128	465	-635	445
129	-87	-251	81
130	363	773	-588
131	-35	-263	167
132	494	-440	457
133	210	599	-823
134	-544	-520	-557
135	-616	-360	-401
136	562	-559	345
137	-596	-492	-318
138	610	-518	474
139	-249	-252	95
140	689	-477	506
141	-243	-324	110
142	376	627	-822
143	456	-426	450
144	-74	-220	178
145	-544	-499	-486
146	-102	-389	198
147	-80	-412	27
148	-675	-532	-320
149	572	-598	257
150	-60	-487	163
151	-82	-445	268
152	-143	-360	62
153	-50	-343	209
154	196	608	-627
155	596	-429	465
156	-143	-485	102
157	-627	-341	-522
158	-700	-403	-341
159	-198	-483	42
160	379	659	-640
161	-589	-338	-466
162	240	682	-779
163	-642	-338	-465
164	473	-503	315
165	-263	-285	189
166	701	-573	301
167	570	-558	319
168	454	-415	467
